pfr_id,full_name
HamiAn01,Antonio Hamilton
AlfoRo00,Robert Alford
BordBr00,Breon Borders
MurpBy00,Byron Murphy
WhitJa05,Jace Whittaker
WilsMa04,Marco Wilson
PeteKe01,Kevin Peterson
BreeBa00,Bashaud Breeland
BanjCh00,Chris Banjo
WashCh01,Charles Washington
ThomDe06,Deionte Thompson
BrooNa00,Nate Brooks
ThomJa04,Jalen Thompson
NA,Javon Hagan
WiggJa00,James Wiggins
BakeBu00,Budda Baker
WattJ.00,J.J. Watt
DogbMi00,Michael Dogbe
BeexRy00,Ryan Bee
LedbJo01,Jonathan Ledbetter
MaurJo00,Josh Mauro
DickMa00,Matt Dickerson
PhilJo01,Jordan Phillips
AlleZa01,Zach Allen
PeteCo00,Corey Peters
LawrRa01,Rashard Lawrence
CrawJa00,Jack Crawford
FotuLe00,Leki Fotu
PratMa20,Matt Prater
GardDe01,Dennis Gardeck
DimuVi00,Victor Dimukeje
HickJo00,Jordan Hicks
CollZa00,Zaven Collins
KennDe00,Devon Kennard
FittKy00,Kylie Fitts
SimmIs00,Isaiah Simmons
GoldMa00,Markus Golden
JoneCh03,Chandler Jones
VallTa00,Tanner Vallejo
WalkJo01,Joe Walker
NA,Donald Rutledge
TurnZe00,Ezekiel Turner
BrewAa00,Aaron Brewer
HudsRo00,Rodney Hudson
MurrJu00,Justin Murray
HarlSe00,Sean Harlow
GarcMa00,Max Garcia
HumpD.00,D.J. Humphries
JoneJo07,Josh Jones
NA,Marcus Henry
PughJu00,Justin Pugh
BeacKe00,Kelvin Beachum
NA,Koda Martin
MileJo00,Joshua Miles
IsidDa00,Danny Isidora
NA,Nolan Cooney
LeexAn20,Andy Lee
MurrKy00,Kyler Murray
McSoTr00,Trace McSorley
McCoCo00,Colt McCoy
EdmoCh00,Chase Edmonds
BenjEn00,Eno Benjamin
NA,Tavien Feaster
WardJo00,Jonathan Ward
SamuJa00,Jaylen Samuels
ConnJa00,James Conner
NA,Eric Smith
NA,David Wells
NA,Bernhard Seikovits
DaniDa02,Darrell Daniels
ElliAl01,Alex Ellis
HarrDe03,Demetrius Harris
YeldDe00,Deon Yelder
WillMa04,Maxx Williams
ErtzZa00,Zach Ertz
NA,Andre Baccellia
HopkDe00,DeAndre Hopkins
DortGr01,Greg Dortch
WhitIs00,Isaac Whitney
IsabAn00,Andy Isabella
KirkCh01,Christian Kirk
NA,Antoine Wesley
GreeA.00,A.J. Green
MoorRo02,Rondale Moore
NA,Ryan Langford
AndrJo01,Josh Andrews
WillAv02,Avery Williams
HallDa03,Darren Hall
NA,Heath Harding
MoreFa00,Fabian Moreau
OlivIs00,Isaiah Oliver
BallCo00,Corey Ballentine
TerrAJ00,A.J. Terrell
ShefKe00,Kendall Sheffield
NA,Luther Kirk
HarrEr00,Erik Harris
PittLa00,Lafayette Pitts
WillSh02,Shawn Williams
NA,Dee Alford
ArmsCo00,Cornell Armstrong
HarmDu00,Duron Harmon
GranRi00,Richie Grant
BraiJo00,Jordan Brailford
DaviMa01,Marlon Davidson
BullJo00,Jonathan Bullard
ThurNi00,Nick Thurman
ComiJo00,John Cominsky
RushAn00,Anthony Rush
DaviTy01,Tyeler Davison
PennMi00,Mike Pennel
JarrGr00,Grady Jarrett
GrahTa00,Ta'Quon Graham
SmitKe03,Keith Smith
NA,John Raine
LindCh00,Chris Lindstrom
KooxYo00,Younghoe Koo
OgunAd01,Adetokunbo Ogundeji
ElleEm00,Emmanuel Ellerbee
VaugJa01,James Vaughters
BellQu00,Quinton Bell
EtheDo00,Dorian Etheridge
FowlDa00,Dante Fowler
OluoFo00,Foyesade Oluokun
CopeBr00,Brandon Copeland
MeanSt00,Steven Means
BateDa00,Daren Bates
EjioDu00,Duke Ejiofor
JoneDe01,Deion Jones
WalkMy00,Mykal Walker
SmitRa02,Rashad Smith
HarrJo02,Josh Harris
HennMa00,Matt Hennessy
SpriJa00,Jason Spriggs
